time,temperature_2m,relative_humidity_2m,wind_speed_10m,apparent_temperature
2023-12-21 10:00:00,12.8,72,30.4,7.8
2023-12-21 11:00:00,12.8,73,29.4,8.0
2023-12-21 12:00:00,12.8,71,31.6,7.6
2023-12-21 13:00:00,13.5,71,30.5,8.6
2023-12-21 14:00:00,12.9,70,29.9,8.0
2023-12-21 15:00:00,12.1,71,29.3,7.1
2023-12-21 16:00:00,11.6,70,30.0,6.3
2023-12-21 17:00:00,10.8,70,27.3,5.8
2023-12-21 18:00:00,10.5,70,24.4,5.8
2023-12-21 19:00:00,9.6,71,25.6,4.5
2023-12-21 20:00:00,9.1,72,25.2,4.1
2023-12-21 21:00:00,8.7,74,23.2,4.0
2023-12-21 22:00:00,8.7,75,25.7,3.6
2023-12-21 23:00:00,8.4,76,26.1,3.3
2023-12-22 00:00:00,8.4,75,25.3,3.4
2023-12-22 01:00:00,9.0,72,24.9,4.0
2023-12-22 02:00:00,9.6,71,23.8,4.8
2023-12-22 03:00:00,9.6,77,21.3,5.4
2023-12-22 04:00:00,9.8,82,23.5,5.6
2023-12-22 05:00:00,10.1,82,27.4,5.4
2023-12-22 06:00:00,10.3,82,26.3,5.8
2023-12-22 07:00:00,10.4,81,29.2,5.5
2023-12-22 08:00:00,10.5,79,27.4,5.8
2023-12-22 09:00:00,10.6,76,26.8,5.8
2023-12-22 10:00:00,10.8,75,26.0,6.2
2023-12-22 11:00:00,11.1,74,26.8,6.3
2023-12-22 12:00:00,11.1,74,25.6,6.5
2023-12-22 13:00:00,10.7,71,29.7,5.3
2023-12-22 14:00:00,10.7,71,30.1,5.3
2023-12-22 15:00:00,10.6,70,30.0,5.1
2023-12-22 16:00:00,10.4,69,29.0,5.0
2023-12-22 17:00:00,10.1,70,27.6,4.9
2023-12-22 18:00:00,9.8,72,26.1,4.7
2023-12-22 19:00:00,9.8,73,25.7,4.8
2023-12-22 20:00:00,10.0,72,25.3,5.1
2023-12-22 21:00:00,9.8,73,24.5,5.0
2023-12-22 22:00:00,9.2,74,23.8,4.5
2023-12-22 23:00:00,8.7,77,23.4,4.0
2023-12-23 00:00:00,8.6,78,22.3,4.2
2023-12-23 01:00:00,8.1,81,22.7,3.5
2023-12-23 02:00:00,8.3,80,23.7,3.7
2023-12-23 03:00:00,8.4,81,25.1,3.6
2023-12-23 04:00:00,8.4,81,24.6,3.6
2023-12-23 05:00:00,8.4,81,24.4,3.7
2023-12-23 06:00:00,8.8,81,24.3,4.2
2023-12-23 07:00:00,9.4,79,25.6,4.6
2023-12-23 08:00:00,9.0,80,22.0,4.8
2023-12-23 09:00:00,8.9,83,21.5,4.8
2023-12-23 10:00:00,9.5,81,21.4,5.5
2023-12-23 11:00:00,10.5,75,26.3,5.7
2023-12-23 12:00:00,11.1,74,22.3,6.9
2023-12-23 13:00:00,11.0,72,27.2,6.1
2023-12-23 14:00:00,10.9,74,24.3,6.4
2023-12-23 15:00:00,10.4,77,24.1,6.1
2023-12-23 16:00:00,10.0,77,23.7,5.5
2023-12-23 17:00:00,9.8,77,23.9,5.4
2023-12-23 18:00:00,9.6,80,24.1,5.2
2023-12-23 19:00:00,10.2,79,24.0,5.8
2023-12-23 20:00:00,10.6,78,24.1,6.3
2023-12-23 21:00:00,10.7,78,24.1,6.4
2023-12-23 22:00:00,10.7,80,26.6,6.1
2023-12-23 23:00:00,11.1,79,29.5,6.2
2023-12-24 00:00:00,11.4,77,30.6,6.3
2023-12-24 01:00:00,10.4,84,25.3,6.2
2023-12-24 02:00:00,10.3,90,26.7,6.1
2023-12-24 03:00:00,10.7,90,25.5,6.7
2023-12-24 04:00:00,11.1,90,26.9,7.1
2023-12-24 05:00:00,11.6,90,26.5,7.8
2023-12-24 06:00:00,12.3,89,27.8,8.4
2023-12-24 07:00:00,12.5,88,26.1,8.9
2023-12-24 08:00:00,12.7,89,27.6,9.0
2023-12-24 09:00:00,12.9,89,26.6,9.4
2023-12-24 10:00:00,13.2,89,26.9,9.7
2023-12-24 11:00:00,13.2,88,29.2,9.3
2023-12-24 12:00:00,13.3,85,31.2,9.0
2023-12-24 13:00:00,13.3,84,26.9,9.6
2023-12-24 14:00:00,13.1,85,29.7,9.0
2023-12-24 15:00:00,12.9,85,32.2,8.4
2023-12-24 16:00:00,12.8,85,29.3,8.7
2023-12-24 17:00:00,12.9,85,29.2,8.8
2023-12-24 18:00:00,13.2,85,30.4,8.9
2023-12-24 19:00:00,13.3,85,29.6,9.2
2023-12-24 20:00:00,13.3,84,29.6,9.2
2023-12-24 21:00:00,13.3,85,29.3,9.2
2023-12-24 22:00:00,13.3,84,29.4,9.2
2023-12-24 23:00:00,13.2,84,29.9,9.0
2023-12-25 00:00:00,13.0,84,27.0,9.2
2023-12-25 01:00:00,13.0,86,25.0,9.6
2023-12-25 02:00:00,13.0,86,23.7,9.8
2023-12-25 03:00:00,12.9,86,24.2,9.6
2023-12-25 04:00:00,12.7,87,23.3,9.5
2023-12-25 05:00:00,12.6,88,21.6,9.7
2023-12-25 06:00:00,12.6,88,21.3,9.7
2023-12-25 07:00:00,12.5,88,21.9,9.5
2023-12-25 08:00:00,12.5,86,21.5,9.5
2023-12-25 09:00:00,12.3,86,20.9,9.3
2023-12-25 10:00:00,12.5,84,21.3,9.4
2023-12-25 11:00:00,12.4,84,19.6,9.4
2023-12-25 12:00:00,13.0,81,17.4,10.4
2023-12-25 13:00:00,12.2,86,19.3,9.4
2023-12-25 14:00:00,12.1,88,18.1,9.6
2023-12-25 15:00:00,12.2,88,15.5,10.0
2023-12-25 16:00:00,12.1,91,16.9,9.9
2023-12-25 17:00:00,12.3,90,23.8,9.0
2023-12-25 18:00:00,12.3,90,27.3,8.6
2023-12-25 19:00:00,12.3,89,29.1,8.3
2023-12-25 20:00:00,12.0,92,28.9,8.0
2023-12-25 21:00:00,11.7,93,27.6,7.8
2023-12-25 22:00:00,11.6,88,24.9,8.0
2023-12-25 23:00:00,10.9,84,25.5,6.7
2023-12-26 00:00:00,9.9,86,24.0,5.7
2023-12-26 01:00:00,9.8,86,22.5,5.9
2023-12-26 02:00:00,9.1,85,23.8,4.8
2023-12-26 03:00:00,8.3,85,24.0,3.8
2023-12-26 04:00:00,7.8,85,23.9,3.2
2023-12-26 05:00:00,7.5,86,23.2,3.0
2023-12-26 06:00:00,7.6,84,22.7,3.1
2023-12-26 07:00:00,7.4,84,21.5,3.0
2023-12-26 08:00:00,6.8,85,17.3,2.9
2023-12-26 09:00:00,6.7,84,16.1,3.0
2023-12-26 10:00:00,7.6,80,18.4,3.6
